class,text,cleaned_txt,polarity,Sentiment
1,The Da Vinci Code book is just awesome.,vinci code book just awesom,0.0,positive
1,"this was the first clive cussler i've ever read, but even books like Relic, and Da Vinci code were more plausible than this.",thi first clive cussler ever read even book like relic vinci code were more plausibl than thi,0.375,positive
1,i liked the Da Vinci Code a lot.,like vinci code,0.0,positive
1,i liked the Da Vinci Code a lot.,like vinci code,0.0,positive
1,I liked the Da Vinci Code but it ultimatly didn't seem to hold it's own.,like vinci code ultimatli didn seem hold,0.0,positive
1,"that's not even an exaggeration ) and at midnight we went to Wal-Mart to buy the Da Vinci Code, which is amazing of course.",that even exagger midnight went mart vinci code which amaz cours,0.0,positive
1,"I loved the Da Vinci Code, but now I want something better and different!..",love vinci code want someth better differ,0.5,positive
1,"i thought da vinci code was great, same with kite runner.",thought vinci code great same with kite runner,0.4,positive
1,The Da Vinci Code is actually a good movie...,vinci code actual good movi,0.35,positive
1,I thought the Da Vinci Code was a pretty good book.,thought vinci code pretti good book,0.7,positive
1,The Da Vinci Code is one of the most beautiful movies ive ever seen.,vinci code most beauti movi ever seen,0.5,positive
1,"The Da Vinci Code is an * amazing * book, do not get me wrong.",vinci code amaz book wrong,-0.5,negative
1,then I turn on the light and the radio and enjoy my Da Vinci Code.,then turn light radio enjoy vinci code,0.4,positive
1,The Da Vinci Code was REALLY good.,vinci code realli good,0.7,positive
1,i love da vinci code....,love vinci code,0.5,positive
1,i loved da vinci code..,love vinci code,0.5,positive
1,TO NIGHT:: THE DA VINCI CODE AND A BEAUTIFUL MIND...,night vinci code beauti mind,0.0,positive
1,THE DA VINCI CODE is AN AWESOME BOOK....,vinci code awesom book,0.0,positive
1,"Thing is, I enjoyed The Da Vinci Code.",thing enjoy vinci code,0.4,positive
1,very da vinci code slash amazing race.,veri vinci code slash amaz race,0.0,positive
1,Hey I loved The Da Vinci Code!..,love vinci code,0.5,positive
1,also loved the da vinci code..,also love vinci code,0.5,positive
1,I really enjoyed the Da Vinci Code but thought I would be disappointed in the other books & # 8230;.,realli enjoy vinci code thought would disappoint other book,0.1375,positive
1,I do like Angels and Demons more then The Da Vinci Code.,like angel demon more then vinci code,0.5,positive
1,The Da Vinci Code was a really good movie.,vinci code realli good movi,0.7,positive
1,"yeah, da vinci code is an awesome movie i liked it pretty interesting.",yeah vinci code awesom movi like pretti interest,0.0,positive
1,I really like The Da Vinci Code.,realli like vinci code,0.0,positive
1,Da Vinci Code is amazing.,vinci code amaz,0.0,positive
1,The Da Vinci Code was awesome...,vinci code awesom,0.0,positive
1,"The Da Vinci Code's backtory on various religious historical figures and such were interesting at times, but I'm more of scifi girl at heart.",vinci code backtori variou religi histor figur such were interest time more scifi girl heart,0.25,positive
1,Book ( s ): I love The Da Vinci Code..,book love vinci code,0.5,positive
1,"And then we went to see The Da Vinci Code, which was CRAZY awesome and Ian McKellen is my old, gay husband.",then went vinci code which crazi awesom mckellen husband,0.0,positive
1," Now some people will say to me, Joe, I liked the Da Vinci code, you're being too hard on Dan Brown.
1	I love the da vinci code...
1	Well I did enjoy Bridget Jones and I loved the Da Vinci Code so this idea appeals to me and it takes Chick Lit into one of the few arenas that the genre has yet to explore...
1	I just read Da Vinci Code ( which was AWESOME by the way )  .
1	The Da Vinci Code is excellent if you read it as normal as you read other novels,,,..
1	I loved the Da Vinci Code!
1	I love reading The Da Vinci Code!!!!
1	I'm telling you, the Da Vinci Code is an AWESOME book!
1	Then again, my opinion may be a bit biased because I loved the Da Vinci Code soundtrack. ).
1	And I was quite pleased with my own open-mindedness, after having loved The Da Vinci Code so much, that I was able to get equal enjoyment  seeing how the other side reads.",some peopl will like vinci code be hard brown love vinci code well enjoy bridget jone love vinci code thi idea appeal take chick into arena that genr explor just read vinci code which awesom vinci code excel read normal read other novel love vinci code love read vinci code tell vinci code awesom book then again opinion bias becaus love vinci code soundtrack quit pleas with open minded after have love vinci code much that abl equal enjoy see other side read,0.24055555555555555,positive
1,I love the Da Vinci Code.,love vinci code,0.5,positive
1,Da Vinci code is awesome!,vinci code awesom,0.0,positive
1,The Da Vinci Code is awesome.,vinci code awesom,0.0,positive
1,The Da Vinci Code is SUCH an awesome book!,vinci code such awesom book,0.0,positive
1,I LOVE THE DA VINCI CODE...,love vinci code,0.5,positive
1,I loved The Da Vinci Code.,love vinci code,0.5,positive
1,the da vinci code is awesome!,vinci code awesom,0.0,positive
1,oh so beautiful Da Vinci Code...,beauti vinci code,0.0,positive
1,i loved the da vinci code.,love vinci code,0.5,positive
1,The Da Vinci Code is an awesome book.,vinci code awesom book,0.0,positive
1,Da vinci code is an awesome book.,vinci code awesom book,0.0,positive
1,I miss ripping acoustic music and the Da Vinci Code...,miss rip acoust music vinci code,0.0,positive
1,"Personally, I neither hate nor love the Da Vinci Code.",person neither hate love vinci code,-0.15000000000000002,negative
1,looks amazingly fun and possibly a bit cold... [ don't tell anyone ] but da vinci code is an awesome book.,look amazingli possibl cold tell anyon vinci code awesom book,-0.6,negative
1,"Da Vinci Code is of course a awesome book, but you will figure that out on page 286.",vinci code cours awesom book will figur that page,0.0,positive
1,"I love "" The Da Vinci Code!",love vinci code,0.5,positive
1,i LOVED the Da Vinci Code.,love vinci code,0.5,positive
1,"But seriously, the Da Vinci Code is an awesome book.",serious vinci code awesom book,-0.3333333333333333,negative
1,da vinci code is awesome.,vinci code awesom,0.0,positive
1,I love The Da Vinci Code.,love vinci code,0.5,positive
1,the da vinci code is awesome!,vinci code awesom,0.0,positive
1,omg i love the da vinci code that is such an awesome book!,love vinci code that such awesom book,0.25,positive
1,The Da Vinci Code is an awesome book...,vinci code awesom book,0.0,positive
1,The Da Vinci Code is still one of the most awesomest books i've ever read...,vinci code still most awesomest book ever read,0.5,positive
1,I did love The Da Vinci Code though.,love vinci code though,0.5,positive
1,The Da Vinci Code is awesome!..,vinci code awesom,0.0,positive
1,I love the Da Vinci Code too.,love vinci code,0.5,positive
1,"shit, i love the da vinci code.",shit love vinci code,0.15,positive
1,"The Da vinci code really is a awesome book, you also got the other two books by Dan Brown?..",vinci code realli awesom book also other book brown,-0.125,negative
1,"the da vinci code was an awesome book, i just finished it.",vinci code awesom book just finish,0.0,positive
1,da vinci code is awesome..,vinci code awesom,0.0,positive
1,I love The Da Vinci Code...,love vinci code,0.5,positive
1,I LOVE THE DA VINCI CODE!!..,love vinci code,0.5,positive
1,I LOVE THE DA VINCI CODE!!.,love vinci code,0.5,positive
1,damn i love da vinci code.,damn love vinci code,0.5,positive
1,The Da Vinci Code was fucking awesome!..,vinci code fuck awesom,-0.4,negative
1,The Da Vinci Code was awesome.,vinci code awesom,0.0,positive
1,"Da Vinci Code was awesome, and sounds more probable to me than half the crap Fr.",vinci code awesom sound more probabl than half crap,-0.016666666666666663,negative
1,I loved the Da Vinci Code and the like.,love vinci code like,0.5,positive
1,Da Vinci Code-that was awesome!..,vinci code that awesom,0.0,positive
1,"I loved the Da Vinci code, but it raises a lot of theological questions most of which are very absurd...",love vinci code rais theolog question most which veri absurd,0.16666666666666666,positive
1,The Da Vinci Code is an awesome book.,vinci code awesom book,0.0,positive
1,Yeah the Da Vinci code is awesome....,yeah vinci code awesom,0.0,positive
1, The Da Vinci Code  is awesome though.,vinci code awesom though,0.0,positive
1,i LOVE the da vinci code!,love vinci code,0.5,positive
1,The Da Vinci Code is an awesome book!!!,vinci code awesom book,0.0,positive
1,"Aaron  s mom and Aaron knew how much I loved the Da Vinci Code, so we took the tour inside.",aaron aaron knew much love vinci code took tour insid,0.5,positive
1,da vinci code is awesome!,vinci code awesom,0.0,positive
1,I loved the da vinci code....,love vinci code,0.5,positive
1,the Da Vinci Code is awesome..,vinci code awesom,0.0,positive
1,I'd love to go see Da Vinci Code but probably not next week.,love vinci code probabl next week,0.25,positive
1,The Da Vinci Code was awesome.,vinci code awesom,0.0,positive
1,"im sick of books right now, but i must say, da vinci code was awesome..",sick book right must vinci code awesom,-0.2142857142857143,negative
1,"finished reading the da vinci code, which is an awesome book.",finish read vinci code which awesom book,0.0,positive
1,that and the da vinci code is awesome so far.,that vinci code awesom,0.0,positive
1,I LOVE THE DA VINCI CODE!!!!... < < < < < 3333...,love vinci code,0.5,positive
1,And Da Vinci Code is awesome.,vinci code awesom,0.0,positive
1,"I read "" Angels & Demons "" first and am now onto "" The Da Vinci Code "" which so far is awesome.",read angel demon first onto vinci code which awesom,0.25,positive
1,Da Vinci Code is an awesome book..,vinci code awesom book,0.0,positive
1,Da Vinci Code is awesome!,vinci code awesom,0.0,positive
1,"read "" The Da Vinci Code "" is awesome,. but "" Angel and Demons "" is even better if you wanna read Dan Brown's books..",read vinci code awesom angel demon even better wanna read brown book,0.5,positive
1,The Da Vinci Code is awesome...,vinci code awesom,0.0,positive
1,Oh oh oh and I loved The Da Vinci Code!,love vinci code,0.5,positive
1,I love the Da Vinci code...,love vinci code,0.5,positive
1,The Da Vinci Code is awesome.,vinci code awesom,0.0,positive
1,and I love Da Vinci Code-illustrated edition is the only way to go!:)..,love vinci code illustr edit onli,0.5,positive
1,"I loved the Da Vinci code, and I can't wait for the movie.",love vinci code wait movi,0.5,positive
1,i loved da vinci code recently......,love vinci code recent,0.25,positive
1,Love the Da Vinci Code!(,love vinci code,0.5,positive
1,to their right ALSO read and LOVED the Da Vinci code.,their right also read love vinci code,0.39285714285714285,positive
1,I * LOVED * Da Vinci code.,love vinci code,0.5,positive
1,and i love reading da vinci code.....,love read vinci code,0.5,positive
1,and i love Da Vinci Code too..,love vinci code,0.5,positive
1,and i love Da Vinci Code too..,love vinci code,0.5,positive
1,Da Vinci Code looks SO awesome...,vinci code look awesom,0.0,positive
1,I finished The Da Vinci Code that was an awesome book!,finish vinci code that awesom book,0.0,positive
1,"The Da Vinci Code was pretty awesome, but I liked Angels and Demons...",vinci code pretti awesom like angel demon,0.0,positive
